Timestamp,DeviceId,Value,ZScore
2026-05-02T23:29:58.0490530+04:00,IP_192.168.1.4,539,51,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-02T23:29:36.6506280+04:00,IP_192.168.1.1,528,73,4,32
2026-05-02T23:32:57.7807170+04:00,IP_192.168.1.2,515,71,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-02T23:33:42.3307560+04:00,IP_192.168.1.2,515,71,4,32
2026-05-02T23:37:03.4859480+04:00,IP_192.168.1.3,547,83,4,31
2026-05-02T23:40:24.6195430+04:00,IP_192.168.1.4,539,51,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-02T23:38:51.8060170+04:00,IP_192.168.1.3,547,83,4,31
2026-05-02T23:42:12.9324380+04:00,IP_192.168.1.4,539,51,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-08T12:51:33.0451610+04:00,IP_192.168.1.2,515,71,4,32
Timestamp,DeviceId,Value,ZScore
