Timestamp,DeviceId,Value,ZScore
Timestamp,DeviceId,Value,ZScore
2026-05-02T23:39:40.0380930+04:00,IP_192.168.1.4,539,51,4,32
Timestamp,DeviceId,Value,ZScore
Timestamp,DeviceId,Value,ZScore
2026-05-02T23:32:09.5229170+04:00,IP_192.168.1.1,528,73,4,32
2026-05-02T23:35:30.6634520+04:00,IP_192.168.1.2,515,71,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-08T12:48:11.9027550+04:00,IP_192.168.1.1,528,73,4,32
2026-05-08T12:58:15.3186030+04:00,IP_192.168.1.4,539,51,4,32
Timestamp,DeviceId,Value,ZScore
2026-05-10T10:40:45.3257740+04:00,IP_192.168.1.2,515,71,4,32
2026-05-10T10:44:06.4563370+04:00,IP_192.168.1.3,547,83,4,31
